date,basin,observed,nh_prediction,gnn_prediction,watch,warning,severe,prediction,status
2022-09-30,10002,2.31,1.228632,1.594638749542357,9.13,12.69,24.30160000000004,1.594638749542357,Normal
2022-09-30,10003,2.69,2.158596,2.5416099176221905,15.645,19.95,33.8825,2.5416099176221905,Normal
2022-09-30,1001,9.0,1.7340508,2.0471605029418845,7.857000000000016,10.653000000000002,17.464899999999997,2.0471605029418845,Normal
2022-09-30,101002,0.17000008,0.22248793,0.2713954880787619,0.54,0.8,1.8438000000000103,0.2713954880787619,Normal
2022-09-30,101005,0.17000008,0.17411089,0.1622501656960323,0.4,0.62,1.495,0.1622501656960323,Normal
2022-09-30,102001,0.14999962,0.39435816,0.4005825756023576,0.94,1.4084999999999943,2.807900000000018,0.4005825756023576,Normal
2022-09-30,106001,2.94,4.1550846,4.160202860580888,3.895999999999999,5.098999999999998,7.579200000000001,4.160202860580888,Watch
2022-09-30,107001,3.0100002,1.612751,1.5558392681952693,1.28,1.68,2.5144000000000006,1.5558392681952693,Watch
2022-09-30,11001,12.12,8.601111,11.728178901145522,39.97600000000002,51.6865,86.33039999999993,11.728178901145522,Normal
2022-09-30,11003,7.73,8.200419,8.992987847324809,18.3,24.55,43.65479999999996,8.992987847324809,Normal
2022-09-30,11004,1.7799997,1.6914554,1.6594426383465375,6.13,7.81,13.650600000000011,1.6594426383465375,Normal
2022-09-30,12001,103.8,37.8929,42.05909478294733,75.72300000000001,103.86499999999997,180.52599999999984,42.05909478294733,Normal
2022-09-30,12002,112.4,48.355164,49.03146984559061,96.305,129.6,242.0,49.03146984559061,Normal
2022-09-30,12005,14.83,5.809087,5.788155690165197,7.49,10.715,21.12199999999997,5.788155690165197,Normal
2022-09-30,12006,6.49,5.1675897,5.420590224580197,7.54,10.525999999999986,19.4098,5.420590224580197,Normal
2022-09-30,12007,56.42,24.340761,25.54690432662256,25.725,36.93,62.385,25.54690432662256,Normal
2022-09-30,12008,16.69,8.286228,9.132534256276667,11.78,17.805999999999994,41.48919999999998,9.132534256276667,Normal
2022-09-30,12009,,4.1802764,3.9939991758683937,2.91,4.638499999999994,10.763099999999984,3.9939991758683937,Watch
2022-09-30,13001,1.8299999,1.0849056,1.056080450072416,4.34,6.33,13.794000000000016,1.056080450072416,Normal
2022-09-30,13004,5.02,3.7800512,4.373657481892878,6.398000000000011,8.878499999999995,16.083299999999973,4.373657481892878,Normal
2022-09-30,13005,0.80999947,1.0709829,0.6688349024144811,3.63,5.598999999999997,11.631200000000026,0.6688349024144811,Normal
2022-09-30,13007,47.58,15.120899,17.059577428064316,39.38200000000001,55.69649999999998,114.60299999999934,17.059577428064316,Normal
2022-09-30,13008,21.93,10.62335,12.163431793828348,25.428,34.80799999999999,64.04760000000006,12.163431793828348,Normal
2022-09-30,14001,2.12,1.4410605,1.4465463841376758,8.153000000000011,11.532999999999992,21.453899999999976,1.4465463841376758,Normal
2022-09-30,14002,0.6500001,0.49333858,0.5401650646547641,3.37,4.88,9.081199999999953,0.5401650646547641,Normal
2022-09-30,14005,0.17000008,0.23181772,0.1631071090668874,1.16,1.7,3.5,0.1631071090668874,Normal
2022-09-30,15006,154.5,84.14228,108.41608136282936,351.4300000000001,442.065,656.9259999999998,108.41608136282936,Normal
2022-09-30,15007,48.54,44.069916,47.782358085813264,125.2,156.96499999999995,229.2129999999999,47.782358085813264,Normal
2022-09-30,15010,11.4,7.035916,7.578163785618024,16.25,22.985,40.924000000000014,7.578163785618024,Normal
2022-09-30,15011,32.53,18.451294,20.736876003369414,26.652000000000044,39.2765,75.98079999999986,20.736876003369414,Normal
2022-09-30,15012,86.3,46.9541,54.629417355189645,145.6,178.47999999999993,288.0520000000004,54.629417355189645,Normal
2022-09-30,15013,4.68,4.8515415,5.808422806352667,11.52,17.041999999999934,31.143800000000013,5.808422806352667,Normal
2022-09-30,15014,7.5,3.2577891,3.5009459975391164,7.489000000000006,11.349499999999995,19.465199999999967,3.5009459975391164,Normal
2022-09-30,15016,20.52,40.617607,40.38462945368313,100.2,123.1,173.70100000000002,40.38462945368313,Normal
2022-09-30,15021,,0.8992567,1.1298425929232971,3.37,4.35,7.081199999999989,1.1298425929232971,Normal
2022-09-30,15023,5.6,4.4423785,5.011125603999904,16.44,23.783999999999995,42.24280000000004,5.011125603999904,Normal
2022-09-30,15024,42.08,34.42594,34.439261571849904,41.753,57.01099999999995,101.16899999999988,34.439261571849904,Normal
2022-09-30,15025,21.14,11.492855,12.225072759571246,28.889000000000006,39.50849999999999,68.3942999999996,12.225072759571246,Normal
2022-09-30,15030,2.17,1.9948354,1.6525994367310377,7.968000000000011,11.446999999999996,20.81799999999985,1.6525994367310377,Normal
2022-09-30,15039,29.19,9.207037,9.934241269131356,15.8,23.8375,42.265,9.934241269131356,Normal
2022-09-30,16001,32.26,25.859045,27.78056814239143,50.82900000000004,66.23299999999999,103.41299999999993,27.78056814239143,Normal
2022-09-30,16003,21.399998,15.330063,16.127743064117396,12.77,19.12,35.90959999999992,16.127743064117396,Watch
2022-09-30,16004,35.3,27.96954,31.407895212388087,65.35199999999999,86.74199999999999,141.09600000000046,31.407895212388087,Normal
2022-09-30,17001,6.89,5.5899496,5.59934202036196,8.667000000000007,13.08,25.63810000000001,5.59934202036196,Normal
2022-09-30,17003,1.7000003,2.376616,2.363062107524598,2.84,4.206499999999997,8.16,2.363062107524598,Normal
2022-09-30,17004,,0.7561388,0.9009085374947596,4.76,6.6,12.66349999999995,0.9009085374947596,Normal
2022-09-30,17005,2.83,5.1890326,5.325159879811987,9.81,14.886499999999996,26.937799999999957,5.325159879811987,Normal
2022-09-30,17015,1.2399998,1.1187906,1.0700788726664547,1.72,2.65,5.065,1.0700788726664547,Normal
2022-09-30,17018,0.14999962,0.26413345,0.2480434056959371,0.33,0.46,0.87,0.2480434056959371,Normal
2022-09-30,18001,9.44,11.126043,11.723137104602593,12.36,17.736499999999996,31.13,11.723137104602593,Normal
2022-09-30,18002,,6.0146027,6.446073154654071,9.733000000000011,13.966499999999996,28.112599999999983,6.446073154654071,Normal
2022-09-30,18003,31.730001,23.533651,24.46957968528406,58.99300000000001,82.45599999999999,129.42599999999985,24.46957968528406,Normal
2022-09-30,18008,10.08,17.886223,17.483025292896013,31.98,42.67,64.03599999999992,17.483025292896013,Normal
2022-09-30,18010,15.02,18.575527,19.88280975609025,38.05,52.29949999999999,79.1993999999997,19.88280975609025,Normal
2022-09-30,18011,42.43,43.442566,43.00254184469921,117.9,154.58999999999995,246.39900000000017,43.00254184469921,Normal
2022-09-30,18014,1.4000001,0.79219246,1.0313846415986314,1.96,2.82,5.790800000000018,1.0313846415986314,Normal
2022-09-30,18017,,1.851203,1.9039506742863652,1.43,2.29,4.41039999999999,1.9039506742863652,Watch
2022-09-30,18018,,1.1919312,1.205872053998065,0.97,1.42,2.82,1.205872053998065,Watch
2022-09-30,19001,8.4,3.307664,3.2052595066012453,14.34,22.05149999999996,44.68639999999977,3.2052595066012453,Normal
2022-09-30,19006,1.3300004,1.1317606,1.0059461104126222,3.26,4.736999999999989,9.162799999999988,1.0059461104126222,Normal
