basin,watch,warning,severe
10002,9.13,12.69,24.301600000000036
10003,15.645,19.95,33.8825
1001,7.857000000000016,10.653000000000002,17.464899999999997
101002,0.54,0.8,1.8438000000000103
101005,0.4,0.62,1.495
102001,0.94,1.4084999999999945,2.807900000000018
106001,3.895999999999999,5.098999999999998,7.579200000000001
107001,1.28,1.68,2.5144000000000006
11001,39.97600000000002,51.686499999999995,86.33039999999993
11003,18.3,24.55,43.65479999999996
11004,6.13,7.81,13.650600000000013
12001,75.72300000000001,103.86499999999997,180.52599999999984
12002,96.305,129.6,242.0
12005,7.49,10.715,21.12199999999997
12006,7.54,10.525999999999986,19.409799999999997
12007,25.725,36.93,62.385
12008,11.78,17.805999999999994,41.48919999999998
12009,2.91,4.638499999999994,10.763099999999985
13001,4.34,6.33,13.794000000000015
13004,6.398000000000011,8.878499999999995,16.083299999999973
13005,3.63,5.598999999999997,11.631200000000026
13007,39.38200000000001,55.69649999999998,114.60299999999934
13008,25.428,34.80799999999999,64.04760000000006
14001,8.153000000000011,11.532999999999992,21.453899999999976
14002,3.37,4.88,9.081199999999953
14005,1.16,1.7,3.5
15006,351.4300000000001,442.065,656.9259999999998
15007,125.2,156.96499999999997,229.2129999999999
15010,16.25,22.985,40.924000000000014
15011,26.652000000000044,39.2765,75.98079999999986
15012,145.6,178.47999999999993,288.0520000000004
15013,11.52,17.041999999999934,31.143800000000013
15014,7.489000000000006,11.349499999999997,19.465199999999967
15016,100.2,123.1,173.70100000000002
15021,3.37,4.35,7.081199999999989
15023,16.44,23.783999999999995,42.24280000000004
15024,41.753,57.01099999999995,101.16899999999987
15025,28.889000000000006,39.50849999999999,68.3942999999996
15030,7.968000000000011,11.446999999999997,20.81799999999985
15039,15.8,23.8375,42.265
16001,50.829000000000036,66.23299999999999,103.41299999999993
16003,12.77,19.12,35.90959999999992
16004,65.35199999999999,86.74199999999999,141.09600000000046
17001,8.667000000000007,13.08,25.638100000000012
17003,2.84,4.206499999999997,8.16
17004,4.76,6.6,12.66349999999995
17005,9.81,14.886499999999996,26.937799999999953
17015,1.72,2.65,5.0649999999999995
17018,0.33,0.46,0.87
18001,12.36,17.736499999999996,31.13
18002,9.733000000000011,13.966499999999996,28.112599999999983
18003,58.99300000000001,82.45599999999999,129.42599999999985
18008,31.98,42.67,64.03599999999992
18010,38.05,52.29949999999999,79.1993999999997
18011,117.9,154.58999999999995,246.39900000000017
18014,1.96,2.82,5.790800000000018
18017,1.43,2.29,4.41039999999999
18018,0.97,1.42,2.82
19001,14.34,22.05149999999996,44.68639999999977
19006,3.26,4.736999999999989,9.162799999999988
19010,0.35,0.48,1.0628999999999906
19017,1.03,1.6455000000000017,3.717299999999996
19020,1.84,2.93,6.33550000000001
20002,0.27,0.44,1.261299999999992
20003,2.83,4.497999999999993,9.91
20007,1.49,2.14,4.617200000000012
2001,28.922000000000008,42.50899999999998,71.01439999999995
2002,31.595999999999993,44.87699999999996,77.22220000000013
21003,34.56,45.646499999999996,79.47379999999978
21006,80.95900000000003,110.4,190.9
21008,44.939000000000036,65.53949999999999,121.05199999999968
21009,170.9600000000002,232.36499999999998,406.25199999999967
21011,14.93,20.53,35.39729999999983
21012,20.43300000000001,29.24299999999999,54.11649999999996
21013,8.12,11.41,20.731299999999994
21015,7.316000000000021,11.016499999999995,22.342599999999983
21016,2.6,4.266499999999996,10.575199999999969
21017,4.5,6.816499999999996,13.54
21018,6.63,9.04,16.085199999999965
21022,13.01300000000001,19.65299999999999,41.150399999999934
21023,2.03,3.51,9.29880000000001
21024,5.15,8.127000000000008,17.3817
21026,3.4,5.32,10.62870000000001
21027,3.47,5.3,13.077999999999992
22001,18.4,28.3,59.51299999999992
22006,4.66,7.706999999999989,19.513999999999943
22007,7.03,11.3,28.81800000000003
22009,11.913999999999996,17.17599999999997,39.824799999999996
23001,100.0,148.6,284.5599999999995
23004,45.1,67.5,134.1299999999992
23007,4.15,6.475,16.172499999999964
23008,13.7,21.0,46.69199999999982
23011,4.38,6.91,13.5
23016,0.6210000000000037,1.08,3.0090999999999983
24001,25.3,39.6,79.14500000000007
24003,9.14,15.1,31.2
24004,2.75,3.96,8.047700000000004
24005,3.23,5.1,12.1
25001,42.51000000000003,63.7,123.0
25003,1.53,2.26,4.02
25006,5.88,9.73,20.01299999999992
25012,2.6039999999999965,3.93,7.551399999999994
25020,1.84,2.92,8.30600000000004
25021,0.78,1.35,3.423999999999978
26003,1.22,1.49,2.1425
26005,0.57,0.92,2.0285999999999964
26006,1.5,1.85,2.95
26008,0.44,0.56,0.7784000000000015
26009,4.72,5.71,7.111499999999997
27001,18.0,24.675,47.2
27002,41.5,58.7,106.1299999999992
27003,79.7800000000001,106.0,188.0
27006,10.727000000000098,16.4,34.31299999999992
27007,53.0,75.61000000000003,136.0
27009,127.0,175.175,275.0
27021,32.979000000000035,49.5,95.29899999999998
27023,2.81,4.39,9.811299999999992
27025,8.577000000000007,13.295500000000011,26.75699999999997
27026,4.43,6.721999999999989,14.403999999999906
27029,17.9,25.8,44.865999999999985
27030,6.59,9.893999999999997,20.38799999999992
27032,0.39,0.58,1.0956999999999972
27034,39.960000000000036,58.69599999999999,114.0
27035,16.3,24.2,42.11399999999994
27038,0.81,0.91,1.056299999999992
27041,33.5,44.504999999999924,64.28099999999995
27042,2.1,2.8929999999999927,5.588600000000006
27043,35.8,51.754999999999924,93.4
27049,6.758999999999996,8.92,15.919000000000052
27051,0.27,0.43,0.95
27062,19.72,29.24,56.06600000000001
27064,1.05,1.7644999999999982,4.556099999999915
27065,4.915,7.28,13.654999999999927
27071,46.24,66.59,114.52499999999999
27073,0.51,0.61,0.8325
27077,1.3490000000000055,1.9944999999999982,4.054699999999993
27079,42.415,59.9675,111.13499999999995
27080,39.569999999999986,55.5,92.07230000000004
27084,2.19,3.42,6.595199999999968
27087,7.35,9.080499999999983,13.867000000000008
27089,41.7,58.63499999999999,113.86999999999989
27090,31.55999999999999,47.44999999999986,92.35599999999985
28001,4.997999999999993,8.336999999999989,18.511199999999953
28003,9.23,13.1,26.16400000000016
28008,15.9,21.475499999999975,34.4
28009,176.0,241.0,376.0
28012,23.7,32.9,54.5
28015,4.316999999999998,5.393499999999994,8.230699999999997
28018,28.23000000000011,39.4,68.71299999999992
28022,183.33000000000013,253.25999999999985,396.8519999999997
28023,6.01,7.735,12.120000000000001
28024,6.868999999999996,11.682499999999946,24.989599999999992
28026,6.17,9.336499999999996,20.291299999999993
28031,7.67,11.4,20.6
28033,0.6,0.84,1.5767000000000009
28039,1.53,2.41,5.2437000000000085
28040,1.34,2.056499999999996,4.3012999999999915
28043,14.3,20.9,38.31299999999992
28044,0.5,0.6,0.81
28046,3.7,4.62,6.99
28048,2.81,4.388500000000003,10.2
28050,1.6,2.3104999999999927,4.132200000000012
28052,2.33,3.2310000000000034,6.562199999999994
28055,1.49,2.2,4.39
28056,1.66,2.57,5.882999999999993
28060,0.26,0.36,0.77
28066,2.06,3.08,6.26
28067,39.316,53.53599999999999,89.99799999999998
28072,0.54,0.79,1.6645000000000072
28074,26.819999999999983,40.65999999999995,65.3
28080,22.8,30.2,52.05199999999968
28081,3.81,5.120499999999997,9.363299999999981
28082,3.16,4.848500000000003,10.31
28085,36.0,49.0,82.31299999999992
28091,2.77,3.81,6.68239999999998
28093,21.96,34.077499999999986,57.43749999999994
28115,1.0,1.2379999999999973,2.028800000000001
28116,1.38,1.7779999999999996,2.7715999999999985
28117,31.932000000000006,41.66199999999999,73.37559999999999
29002,1.14,1.35,1.97
29003,0.87,1.07,1.48
29005,0.96,1.41,3.21
29009,0.38,0.55,1.0140999999999984
30001,3.96,5.486499999999997,10.1
30004,0.92,1.32,2.6847999999999956
30005,1.7,2.31,3.58
30011,0.74,0.98,1.64
30012,0.6,0.94,2.49
30014,0.16,0.26,0.66
30015,0.61,0.74,1.06
3003,40.17700000000003,57.254499999999936,108.20300000000007
31002,2.9,4.42,9.779199999999982
31006,1.32,1.6,2.44
31010,1.16,1.71,3.56
31021,3.46,5.491499999999997,12.5
31023,0.05,0.11,0.32729999999999565
31025,0.47,0.82,2.1304999999999925
32003,0.92,1.55,3.8757999999999995
32004,2.97,4.5,9.172999999999993
32006,3.2330000000000108,4.9,10.1
32008,1.48,2.29,4.854799999999996
